job_id,subtime,start_time,finish_time,waiting_time
1,0,0.0,1451.0,0.0
2,1460,1460.0,5186.0,0.0
3,5198,5198.0,6265.0,0.0
4,6269,6269.0,17196.0,0.0
5,17201,17201.0,20128.0,0.0
57,25574,28274.0,28284.0,2700.0
59,26613,29313.0,30029.0,2700.0
60,27331,30031.0,30038.0,2700.0
76,30304,30304.0,30480.0,0.0
62,27989,30689.0,30698.0,2700.0
77,30542,30542.0,30702.0,0.0
61,27968,30668.0,30737.0,2700.0
63,28043,30743.0,30752.0,2700.0
80,30931,30931.0,31160.0,0.0
85,31316,31316.0,31370.0,0.0
86,31345,31345.0,31582.0,0.0
87,31658,31658.0,31707.0,0.0
65,28255,30955.0,31839.0,2700.0
90,31829,31829.0,31886.0,0.0
89,31823,31823.0,31927.0,0.0
92,31929,31929.0,31936.0,0.0
93,32058,32058.0,32239.0,0.0
72,29539,32239.0,32314.0,2700.0
74,29616,32316.0,32331.0,2700.0
95,32289,32289.0,32432.0,0.0
96,32435,32435.0,32442.0,0.0
97,32463,32463.0,32522.0,0.0
102,32702,32702.0,32716.0,0.0
104,32974,32974.0,33025.0,0.0
106,33114,33114.0,33124.0,0.0
107,33200,33200.0,33252.0,0.0
109,33656,33656.0,33803.0,0.0
110,33806,33806.0,33825.0,0.0
111,33820,33820.0,33880.0,0.0
115,34421,34421.0,34442.0,0.0
119,34546,34546.0,34581.0,0.0
91,31888,34588.0,34607.0,2700.0
117,34471,34471.0,34671.0,0.0
121,34673,34673.0,34681.0,0.0
124,35269,35269.0,35276.0,0.0
122,34856,34856.0,35588.0,0.0
127,35593,35593.0,35603.0,0.0
126,35572,35572.0,35635.0,0.0
133,36027,36027.0,36080.0,0.0
128,35663,35663.0,36390.0,0.0
137,36396,36396.0,36404.0,0.0
98,32513,32513.0,36547.0,0.0
138,36451,36451.0,36617.0,0.0
141,36709,36709.0,36860.0,0.0
140,36641,36641.0,37426.0,0.0
144,36965,37426.0,38019.0,461.0
147,37304,38019.0,38171.0,715.0
160,38147,38147.0,38217.0,0.0
154,37562,38217.0,38353.0,655.0
155,37701,38353.0,38525.0,652.0
135,36149,38849.0,38969.0,2700.0
136,36204,38904.0,39037.0,2700.0
157,37877,38525.0,39091.0,648.0
142,36716,39416.0,39706.0,2700.0
159,37905,38969.0,39776.0,1064.0
170,40045,40045.0,40048.0,0.0
150,37436,40136.0,40165.0,2700.0
151,37439,40139.0,40210.0,2700.0
173,40393,40393.0,40471.0,0.0
146,37087,40414.0,40537.0,3327.0
156,37826,40526.0,40595.0,2700.0
